ListTitle,FieldTitle,FieldInternalName
Artifact Type,ProgId,ProgId
Artifact Type,ScopeId,ScopeId
Artifact Type,File Type,File_x0020_Type
Artifact Type,HTML File Type,HTML_x0020_File_x0020_Type
Artifact Type,Edit Menu Table Start,_EditMenuTableStart
Artifact Type,Edit Menu Table Start,_EditMenuTableStart2
Artifact Type,Edit Menu Table End,_EditMenuTableEnd
Artifact Type,Type,DocIcon
Artifact Type,Server Relative URL,ServerUrl
Artifact Type,Encoded Absolute URL,EncodedAbsUrl
Artifact Type,Property Bag,MetaInfo
Artifact Type,Level,_Level
Artifact Type,Is Current Version,_IsCurrentVersion
Artifact Type,Item Child Count,ItemChildCount
Artifact Type,Folder Child Count,FolderChildCount
Artifact Type,Restricted,Restricted
Artifact Type,Originator Id,OriginatorId
Artifact Type,NoExecute,NoExecute
Artifact Type,Content Version,ContentVersion
Artifact Type,Label setting,_ComplianceFlags
Artifact Type,Retention label,_ComplianceTag
Artifact Type,Retention label Applied,_ComplianceTagWrittenTime
Artifact Type,Label applied by,_ComplianceTagUserId
Artifact Type,Access Policy,AccessPolicy
Artifact Type,VirusStatus,_VirusStatus
Artifact Type,VirusVendorID,_VirusVendorID
Artifact Type,VirusInfo,_VirusInfo
Artifact Type,App Created By,AppAuthor
Artifact Type,App Modified By,AppEditor
Artifact Type,Total Size,SMTotalSize
Artifact Type,Last Modified Date,SMLastModifiedDate
Artifact Type,Total File Stream Size,SMTotalFileStreamSize
Artifact Type,Total File Count,SMTotalFileCount
Artifact Type,Compliance Asset Id,ComplianceAssetId
Artifact Type,Artifact Type,Artifact_x0020_Type
Artifact Type,Comment settings,_CommentFlags
Artifact Type,Comment count,_CommentCount
Artifact Type,Principal Count,PrincipalCount
Artifact Type,Name,FileLeafRef
Artifact Type,Name,LinkFilenameNoMenu
Artifact Type,Name,LinkFilename
Artifact Type,Name,LinkFilename2
Artifact Type,File Name,BaseName
Artifact Type,Item is a Record,_IsRecord
CascadeMasterList,ID,ID
CascadeMasterList,Content Type ID,ContentTypeId
CascadeMasterList,Content Type,ContentType
CascadeMasterList,Title,Title
CascadeMasterList,Modified,Modified
CascadeMasterList,Created,Created
CascadeMasterList,Created By,Author
CascadeMasterList,Modified By,Editor
CascadeMasterList,Has Copy Destinations,_HasCopyDestinations
CascadeMasterList,Copy Source,_CopySource
CascadeMasterList,owshiddenversion,owshiddenversion
CascadeMasterList,Workflow Version,WorkflowVersion
CascadeMasterList,UI Version,_UIVersion
CascadeMasterList,Version,_UIVersionString
CascadeMasterList,Attachments,Attachments
CascadeMasterList,Approval Status,_ModerationStatus
CascadeMasterList,Approver Comments,_ModerationComments
CascadeMasterList,Edit,Edit
CascadeMasterList,Title,LinkTitleNoMenu
CascadeMasterList,Title,LinkTitle
CascadeMasterList,Title,LinkTitle2
CascadeMasterList,Select,SelectTitle
CascadeMasterList,Instance ID,InstanceID
CascadeMasterList,Order,Order
CascadeMasterList,GUID,GUID
CascadeMasterList,Workflow Instance ID,WorkflowInstanceID
CascadeMasterList,URL Path,FileRef
CascadeMasterList,Path,FileDirRef
CascadeMasterList,Modified,Last_x0020_Modified
CascadeMasterList,Created,Created_x0020_Date
CascadeMasterList,Item Type,FSObjType
CascadeMasterList,Sort Type,SortBehavior
CascadeMasterList,Effective Permissions Mask,PermMask
CascadeMasterList,Unique Id,UniqueId
CascadeMasterList,Client Id,SyncClientId
CascadeMasterList,ProgId,ProgId
CascadeMasterList,ScopeId,ScopeId
CascadeMasterList,File Type,File_x0020_Type
CascadeMasterList,HTML File Type,HTML_x0020_File_x0020_Type
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart2
CascadeMasterList,Edit Menu Table End,_EditMenuTableEnd
CascadeMasterList,Type,DocIcon
CascadeMasterList,Server Relative URL,ServerUrl
CascadeMasterList,Encoded Absolute URL,EncodedAbsUrl
CascadeMasterList,Property Bag,MetaInfo
CascadeMasterList,Level,_Level
CascadeMasterList,Is Current Version,_IsCurrentVersion
CascadeMasterList,Item Child Count,ItemChildCount
CascadeMasterList,Folder Child Count,FolderChildCount
CascadeMasterList,Restricted,Restricted
CascadeMasterList,Originator Id,OriginatorId
CascadeMasterList,NoExecute,NoExecute
CascadeMasterList,Content Version,ContentVersion
CascadeMasterList,Label setting,_ComplianceFlags
CascadeMasterList,Retention label,_ComplianceTag
CascadeMasterList,Retention label Applied,_ComplianceTagWrittenTime
CascadeMasterList,Label applied by,_ComplianceTagUserId
CascadeMasterList,Access Policy,AccessPolicy
CascadeMasterList,VirusStatus,_VirusStatus
CascadeMasterList,VirusVendorID,_VirusVendorID
CascadeMasterList,VirusInfo,_VirusInfo
CascadeMasterList,App Created By,AppAuthor
CascadeMasterList,App Modified By,AppEditor
CascadeMasterList,Total Size,SMTotalSize
CascadeMasterList,Last Modified Date,SMLastModifiedDate
CascadeMasterList,Total File Stream Size,SMTotalFileStreamSize
CascadeMasterList,Total File Count,SMTotalFileCount
CascadeMasterList,Compliance Asset Id,ComplianceAssetId
CascadeMasterList,Task,Task
CascadeMasterList,Sub-Task,Sub_x0020_Task
CascadeMasterList,Comment settings,_CommentFlags
CascadeMasterList,Comment count,_CommentCount
CascadeMasterList,Principal Count,PrincipalCount
CascadeMasterList,Name,FileLeafRef
CascadeMasterList,Name,LinkFilenameNoMenu
CascadeMasterList,Name,LinkFilename
CascadeMasterList,Name,LinkFilename2
CascadeMasterList,File Name,BaseName
CascadeMasterList,Item is a Record,_IsRecord
Composed Looks,ID,ID
Composed Looks,Content Type ID,ContentTypeId
Composed Looks,Content Type,ContentType
Composed Looks,Title,Title
Composed Looks,Modified,Modified
Composed Looks,Created,Created
Composed Looks,Created By,Author
Composed Looks,Modified By,Editor
Composed Looks,Has Copy Destinations,_HasCopyDestinations
Composed Looks,Copy Source,_CopySource
Composed Looks,owshiddenversion,owshiddenversion
Composed Looks,Workflow Version,WorkflowVersion
Composed Looks,UI Version,_UIVersion
Composed Looks,Version,_UIVersionString
Composed Looks,Attachments,Attachments
Composed Looks,Approval Status,_ModerationStatus
Composed Looks,Approver Comments,_ModerationComments
Composed Looks,Edit,Edit
Composed Looks,Title,LinkTitleNoMenu
Composed Looks,Title,LinkTitle
Composed Looks,Title,LinkTitle2
Composed Looks,Select,SelectTitle
Composed Looks,Instance ID,InstanceID
Composed Looks,Order,Order
Composed Looks,GUID,GUID
Composed Looks,Workflow Instance ID,WorkflowInstanceID
Composed Looks,URL Path,FileRef
Composed Looks,Path,FileDirRef
Composed Looks,Modified,Last_x0020_Modified
Composed Looks,Created,Created_x0020_Date
Composed Looks,Item Type,FSObjType
Composed Looks,Sort Type,SortBehavior
Composed Looks,Effective Permissions Mask,PermMask
Composed Looks,Unique Id,UniqueId
Composed Looks,Client Id,SyncClientId
Composed Looks,ProgId,ProgId
Composed Looks,ScopeId,ScopeId
Composed Looks,File Type,File_x0020_Type
Composed Looks,HTML File Type,HTML_x0020_File_x0020_Type
Composed Looks,Edit Menu Table Start,_EditMenuTableStart
Composed Looks,Edit Menu Table Start,_EditMenuTableStart2
Composed Looks,Edit Menu Table End,_EditMenuTableEnd
Composed Looks,Type,DocIcon
Composed Looks,Server Relative URL,ServerUrl
Composed Looks,Encoded Absolute URL,EncodedAbsUrl
Composed Looks,Property Bag,MetaInfo
Composed Looks,Level,_Level
Composed Looks,Is Current Version,_IsCurrentVersion
Composed Looks,Item Child Count,ItemChildCount
Composed Looks,Folder Child Count,FolderChildCount
Composed Looks,Restricted,Restricted
Composed Looks,Originator Id,OriginatorId
Composed Looks,NoExecute,NoExecute
Composed Looks,Content Version,ContentVersion
Composed Looks,Label setting,_ComplianceFlags
Composed Looks,Retention label,_ComplianceTag
Composed Looks,Retention label Applied,_ComplianceTagWrittenTime
Composed Looks,Label applied by,_ComplianceTagUserId
Composed Looks,Access Policy,AccessPolicy
Composed Looks,VirusStatus,_VirusStatus
Composed Looks,VirusVendorID,_VirusVendorID
Composed Looks,VirusInfo,_VirusInfo
Composed Looks,App Created By,AppAuthor
Composed Looks,App Modified By,AppEditor
Composed Looks,Total Size,SMTotalSize
Composed Looks,Last Modified Date,SMLastModifiedDate
Composed Looks,Total File Stream Size,SMTotalFileStreamSize
Composed Looks,Total File Count,SMTotalFileCount
Composed Looks,Compliance Asset Id,ComplianceAssetId
Composed Looks,Name,Name
Composed Looks,Master Page URL,MasterPageUrl
Composed Looks,Theme URL,ThemeUrl
Composed Looks,Image URL,ImageUrl
Composed Looks,Font Scheme URL,FontSchemeUrl
Composed Looks,Display Order,DisplayOrder
Composed Looks,Principal Count,PrincipalCount
Composed Looks,Name,FileLeafRef
Composed Looks,Name,LinkFilenameNoMenu
Composed Looks,Name,LinkFilename
Composed Looks,Name,LinkFilename2
Composed Looks,File Name,BaseName
Composed Looks,Item is a Record,_IsRecord
Decision Log,ID,ID
Decision Log,Content Type ID,ContentTypeId
Decision Log,Content Type,ContentType
Decision Log,Title,Title
