ListTitle,FieldTitle,FieldInternalName
CascadeMasterList,Property Bag,MetaInfo
CascadeMasterList,Level,_Level
CascadeMasterList,Is Current Version,_IsCurrentVersion
CascadeMasterList,Item Child Count,ItemChildCount
CascadeMasterList,Folder Child Count,FolderChildCount
CascadeMasterList,Restricted,Restricted
CascadeMasterList,Originator Id,OriginatorId
CascadeMasterList,NoExecute,NoExecute
CascadeMasterList,Content Version,ContentVersion
CascadeMasterList,Label setting,_ComplianceFlags
CascadeMasterList,Retention label,_ComplianceTag
CascadeMasterList,Retention label Applied,_ComplianceTagWrittenTime
CascadeMasterList,Label applied by,_ComplianceTagUserId
CascadeMasterList,Item is a Record,_IsRecord
CascadeMasterList,Access Policy,AccessPolicy
CascadeMasterList,VirusStatus,_VirusStatus
CascadeMasterList,VirusVendorID,_VirusVendorID
CascadeMasterList,VirusInfo,_VirusInfo
CascadeMasterList,App Created By,AppAuthor
CascadeMasterList,App Modified By,AppEditor
CascadeMasterList,Total Size,SMTotalSize
CascadeMasterList,Last Modified Date,SMLastModifiedDate
CascadeMasterList,Total File Stream Size,SMTotalFileStreamSize
CascadeMasterList,Total File Count,SMTotalFileCount
CascadeMasterList,Comment settings,_CommentFlags
CascadeMasterList,Comment count,_CommentCount
Commissioner Review,Content Type ID,ContentTypeId
Commissioner Review,Approver Comments,_ModerationComments
Commissioner Review,Name,FileLeafRef
Commissioner Review,Document Modified By,Modified_x0020_By
Commissioner Review,Document Created By,Created_x0020_By
Commissioner Review,File Type,File_x0020_Type
Commissioner Review,HTML File Type,HTML_x0020_File_x0020_Type
Commissioner Review,Source URL,_SourceUrl
Commissioner Review,Shared File Index,_SharedFileIndex
Commissioner Review,Compliance Asset Id,ComplianceAssetId
Commissioner Review,Title,Title
Commissioner Review,Template Link,TemplateUrl
Commissioner Review,HTML File Link,xd_ProgID
Commissioner Review,Is Signed,xd_Signature
Commissioner Review,Shortcut URL,_ShortcutUrl
Commissioner Review,Shortcut Site Id,_ShortcutSiteId
Commissioner Review,Shortcut Web Id,_ShortcutWebId
Commissioner Review,Shortcut Unique Id,_ShortcutUniqueId
Commissioner Review,Description,_ExtendedDescription
Commissioner Review,Phase,Phase
Commissioner Review,Task,Task
Commissioner Review,Sub-Task,Sub_x002d_Task
Commissioner Review,Document Type,Document_x0020_Type
Commissioner Review,Owner,Owner
Commissioner Review,Commissioner Reviewers,Commissioner_x0020_Reviewers
Commissioner Review,Commissioner Review Due Date,Commissioner_x0020_Review_x0020_Due_x0020_Date
Commissioner Review,Commissioner Review Complete,Commissioner_x0020_Review_x0020_Complete
Commissioner Review,Notes,Notes0
Commissioner Review,Trigger Flow Info,TriggerFlowInfo
Commissioner Review,ID,ID
Commissioner Review,Content Type,ContentType
Commissioner Review,Created,Created
Commissioner Review,Created By,Author
Commissioner Review,Modified,Modified
Commissioner Review,Modified By,Editor
Commissioner Review,Has Copy Destinations,_HasCopyDestinations
Commissioner Review,Copy Source,_CopySource
Commissioner Review,Approval Status,_ModerationStatus
Commissioner Review,URL Path,FileRef
Commissioner Review,Path,FileDirRef
Commissioner Review,Modified,Last_x0020_Modified
Commissioner Review,Created,Created_x0020_Date
Commissioner Review,File Size,File_x0020_Size
Commissioner Review,Item Type,FSObjType
Commissioner Review,Sort Type,SortBehavior
Commissioner Review,Effective Permissions Mask,PermMask
Commissioner Review,Principal Count,PrincipalCount
Commissioner Review,ID of the User who has the item Checked Out,CheckedOutUserId
Commissioner Review,Is Checked out to local,IsCheckedoutToLocal
Commissioner Review,Checked Out To,CheckoutUser
Commissioner Review,Unique Id,UniqueId
Commissioner Review,Client Id,SyncClientId
Commissioner Review,ProgId,ProgId
Commissioner Review,ScopeId,ScopeId
Commissioner Review,Virus Status,VirusStatus
Commissioner Review,Checked Out To,CheckedOutTitle
Commissioner Review,Check In Comment,_CheckinComment
Commissioner Review,Checked Out To,LinkCheckedOutTitle
Commissioner Review,Edit Menu Table Start,_EditMenuTableStart
Commissioner Review,Edit Menu Table Start,_EditMenuTableStart2
Commissioner Review,Edit Menu Table End,_EditMenuTableEnd
Commissioner Review,Name,LinkFilenameNoMenu
Commissioner Review,Name,LinkFilename
Commissioner Review,Name,LinkFilename2
Commissioner Review,Type,DocIcon
Commissioner Review,Server Relative URL,ServerUrl
Commissioner Review,Encoded Absolute URL,EncodedAbsUrl
Commissioner Review,Name,BaseName
Commissioner Review,File Size,FileSizeDisplay
Commissioner Review,Property Bag,MetaInfo
Commissioner Review,Level,_Level
Commissioner Review,Is Current Version,_IsCurrentVersion
Commissioner Review,Item Child Count,ItemChildCount
Commissioner Review,Folder Child Count,FolderChildCount
Commissioner Review,Restricted,Restricted
Commissioner Review,Originator Id,OriginatorId
Commissioner Review,NoExecute,NoExecute
Commissioner Review,Content Version,ContentVersion
Commissioner Review,Label setting,_ComplianceFlags
Commissioner Review,Retention label,_ComplianceTag
Commissioner Review,Retention label Applied,_ComplianceTagWrittenTime
Commissioner Review,Label applied by,_ComplianceTagUserId
Commissioner Review,Item is a Record,_IsRecord
Commissioner Review,BLOB Sequence Number,BSN
Commissioner Review,List Schema Version,_ListSchemaVersion
Commissioner Review,Dirty,_Dirty
Commissioner Review,Parsable,_Parsable
Commissioner Review,StubFile,_StubFile
Commissioner Review,HasEncryptedContent,_HasEncryptedContent
Commissioner Review,Access Policy,AccessPolicy
Commissioner Review,VirusStatus,_VirusStatus
Commissioner Review,VirusVendorID,_VirusVendorID
Commissioner Review,VirusInfo,_VirusInfo
Commissioner Review,Comment settings,_CommentFlags
Commissioner Review,Comment count,_CommentCount
Commissioner Review,Like count,_LikeCount
Commissioner Review,Rights Management Template Id,_RmsTemplateId
Commissioner Review,Sensitivity Label Id,_IpLabelId
Commissioner Review,Sensitivity,_DisplayName
Commissioner Review,Sensitivity Label Assignment Method,_IpLabelAssignmentMethod
Commissioner Review,A2OD Mount Count,A2ODMountCount
Commissioner Review,Expiration Date,_ExpirationDate
Commissioner Review,IpLabelHash,_IpLabelHash
Commissioner Review,App Created By,AppAuthor
Commissioner Review,App Modified By,AppEditor
Commissioner Review,Total Size,SMTotalSize
Commissioner Review,Last Modified Date,SMLastModifiedDate
Commissioner Review,Total File Stream Size,SMTotalFileStreamSize
Commissioner Review,Total File Count,SMTotalFileCount
Commissioner Review,Select,SelectTitle
Commissioner Review,Select,SelectFilename
Commissioner Review,Edit,Edit
Commissioner Review,owshiddenversion,owshiddenversion
Commissioner Review,UI Version,_UIVersion
Commissioner Review,Version,_UIVersionString
Commissioner Review,Instance ID,InstanceID
Commissioner Review,Order,Order
Commissioner Review,GUID,GUID
Commissioner Review,Workflow Version,WorkflowVersion
Commissioner Review,Workflow Instance ID,WorkflowInstanceID
Commissioner Review,Source Version (Converted Document),ParentVersionString
Commissioner Review,Source Name (Converted Document),ParentLeafName
Commissioner Review,Document Concurrency Number,DocConcurrencyNumber
Commissioner Review,Document Parent Identifier,ParentUniqueId
Commissioner Review,Document Stream Hash,StreamHash
Commissioner Review,Merge,Combine
Commissioner Review,Relink,RepairDocument
Composed Looks,ID,ID
Composed Looks,Content Type ID,ContentTypeId
Composed Looks,Content Type,ContentType
Composed Looks,Title,Title
