ListTitle,FieldTitle,FieldInternalName
AMMP Enterprise Quality Program Library,Checked Out To,LinkCheckedOutTitle
AMMP Enterprise Quality Program Library,Edit Menu Table Start,_EditMenuTableStart
AMMP Enterprise Quality Program Library,Edit Menu Table Start,_EditMenuTableStart2
AMMP Enterprise Quality Program Library,Edit Menu Table End,_EditMenuTableEnd
AMMP Enterprise Quality Program Library,Name,LinkFilenameNoMenu
AMMP Enterprise Quality Program Library,Name,LinkFilename
AMMP Enterprise Quality Program Library,Name,LinkFilename2
AMMP Enterprise Quality Program Library,Type,DocIcon
AMMP Enterprise Quality Program Library,Server Relative URL,ServerUrl
AMMP Enterprise Quality Program Library,Encoded Absolute URL,EncodedAbsUrl
AMMP Enterprise Quality Program Library,Name,BaseName
AMMP Enterprise Quality Program Library,File Size,FileSizeDisplay
AMMP Enterprise Quality Program Library,Property Bag,MetaInfo
AMMP Enterprise Quality Program Library,Level,_Level
AMMP Enterprise Quality Program Library,Is Current Version,_IsCurrentVersion
AMMP Enterprise Quality Program Library,Item Child Count,ItemChildCount
AMMP Enterprise Quality Program Library,Folder Child Count,FolderChildCount
AMMP Enterprise Quality Program Library,Restricted,Restricted
AMMP Enterprise Quality Program Library,Originator Id,OriginatorId
AMMP Enterprise Quality Program Library,NoExecute,NoExecute
AMMP Enterprise Quality Program Library,Content Version,ContentVersion
AMMP Enterprise Quality Program Library,Label setting,_ComplianceFlags
AMMP Enterprise Quality Program Library,Retention label,_ComplianceTag
AMMP Enterprise Quality Program Library,Retention label Applied,_ComplianceTagWrittenTime
AMMP Enterprise Quality Program Library,Label applied by,_ComplianceTagUserId
AMMP Enterprise Quality Program Library,Item is a Record,_IsRecord
AMMP Enterprise Quality Program Library,BLOB Sequence Number,BSN
AMMP Enterprise Quality Program Library,List Schema Version,_ListSchemaVersion
AMMP Enterprise Quality Program Library,Dirty,_Dirty
AMMP Enterprise Quality Program Library,Parsable,_Parsable
AMMP Enterprise Quality Program Library,StubFile,_StubFile
AMMP Enterprise Quality Program Library,HasEncryptedContent,_HasEncryptedContent
AMMP Enterprise Quality Program Library,Access Policy,AccessPolicy
AMMP Enterprise Quality Program Library,VirusStatus,_VirusStatus
AMMP Enterprise Quality Program Library,VirusVendorID,_VirusVendorID
AMMP Enterprise Quality Program Library,VirusInfo,_VirusInfo
AMMP Enterprise Quality Program Library,Comment settings,_CommentFlags
AMMP Enterprise Quality Program Library,Comment count,_CommentCount
AMMP Enterprise Quality Program Library,Like count,_LikeCount
AMMP Enterprise Quality Program Library,Rights Management Template Id,_RmsTemplateId
AMMP Enterprise Quality Program Library,Sensitivity Label Id,_IpLabelId
AMMP Enterprise Quality Program Library,Sensitivity,_DisplayName
AMMP Enterprise Quality Program Library,Sensitivity Label Assignment Method,_IpLabelAssignmentMethod
AMMP Enterprise Quality Program Library,A2OD Mount Count,A2ODMountCount
AMMP Enterprise Quality Program Library,Expiration Date,_ExpirationDate
AMMP Enterprise Quality Program Library,IpLabelHash,_IpLabelHash
AMMP Enterprise Quality Program Library,App Created By,AppAuthor
AMMP Enterprise Quality Program Library,App Modified By,AppEditor
AMMP Enterprise Quality Program Library,Total Size,SMTotalSize
AMMP Enterprise Quality Program Library,Last Modified Date,SMLastModifiedDate
AMMP Enterprise Quality Program Library,Total File Stream Size,SMTotalFileStreamSize
AMMP Enterprise Quality Program Library,Total File Count,SMTotalFileCount
AMMP Enterprise Quality Program Library,Select,SelectTitle
AMMP Enterprise Quality Program Library,Select,SelectFilename
AMMP Enterprise Quality Program Library,Edit,Edit
AMMP Enterprise Quality Program Library,owshiddenversion,owshiddenversion
AMMP Enterprise Quality Program Library,UI Version,_UIVersion
AMMP Enterprise Quality Program Library,Version,_UIVersionString
AMMP Enterprise Quality Program Library,Instance ID,InstanceID
AMMP Enterprise Quality Program Library,Order,Order
AMMP Enterprise Quality Program Library,GUID,GUID
AMMP Enterprise Quality Program Library,Workflow Version,WorkflowVersion
AMMP Enterprise Quality Program Library,Workflow Instance ID,WorkflowInstanceID
AMMP Enterprise Quality Program Library,Source Version (Converted Document),ParentVersionString
AMMP Enterprise Quality Program Library,Source Name (Converted Document),ParentLeafName
AMMP Enterprise Quality Program Library,Document Concurrency Number,DocConcurrencyNumber
AMMP Enterprise Quality Program Library,Document Parent Identifier,ParentUniqueId
AMMP Enterprise Quality Program Library,Document Stream Hash,StreamHash
AMMP Enterprise Quality Program Library,Merge,Combine
AMMP Enterprise Quality Program Library,Relink,RepairDocument
Artifact Type,ID,ID
Artifact Type,Content Type ID,ContentTypeId
Artifact Type,Content Type,ContentType
Artifact Type,Title,Title
Artifact Type,Modified,Modified
Artifact Type,Created,Created
Artifact Type,Created By,Author
Artifact Type,Modified By,Editor
Artifact Type,Has Copy Destinations,_HasCopyDestinations
Artifact Type,Copy Source,_CopySource
Artifact Type,owshiddenversion,owshiddenversion
Artifact Type,Workflow Version,WorkflowVersion
Artifact Type,UI Version,_UIVersion
Artifact Type,Version,_UIVersionString
Artifact Type,Attachments,Attachments
Artifact Type,Approval Status,_ModerationStatus
Artifact Type,Approver Comments,_ModerationComments
Artifact Type,Edit,Edit
Artifact Type,Title,LinkTitleNoMenu
Artifact Type,Title,LinkTitle
Artifact Type,Title,LinkTitle2
Artifact Type,Select,SelectTitle
Artifact Type,Instance ID,InstanceID
Artifact Type,Order,Order
Artifact Type,GUID,GUID
Artifact Type,Workflow Instance ID,WorkflowInstanceID
Artifact Type,URL Path,FileRef
Artifact Type,Path,FileDirRef
Artifact Type,Modified,Last_x0020_Modified
Artifact Type,Created,Created_x0020_Date
Artifact Type,Item Type,FSObjType
Artifact Type,Sort Type,SortBehavior
Artifact Type,Effective Permissions Mask,PermMask
Artifact Type,Unique Id,UniqueId
Artifact Type,Client Id,SyncClientId
Artifact Type,ProgId,ProgId
Artifact Type,ScopeId,ScopeId
Artifact Type,File Type,File_x0020_Type
Artifact Type,HTML File Type,HTML_x0020_File_x0020_Type
Artifact Type,Edit Menu Table Start,_EditMenuTableStart
Artifact Type,Edit Menu Table Start,_EditMenuTableStart2
Artifact Type,Edit Menu Table End,_EditMenuTableEnd
Artifact Type,Type,DocIcon
Artifact Type,Server Relative URL,ServerUrl
Artifact Type,Encoded Absolute URL,EncodedAbsUrl
Artifact Type,Property Bag,MetaInfo
Artifact Type,Level,_Level
Artifact Type,Is Current Version,_IsCurrentVersion
Artifact Type,Item Child Count,ItemChildCount
Artifact Type,Folder Child Count,FolderChildCount
Artifact Type,Restricted,Restricted
Artifact Type,Originator Id,OriginatorId
Artifact Type,NoExecute,NoExecute
Artifact Type,Content Version,ContentVersion
Artifact Type,Label setting,_ComplianceFlags
Artifact Type,Retention label,_ComplianceTag
Artifact Type,Retention label Applied,_ComplianceTagWrittenTime
Artifact Type,Label applied by,_ComplianceTagUserId
Artifact Type,Access Policy,AccessPolicy
Artifact Type,VirusStatus,_VirusStatus
Artifact Type,VirusVendorID,_VirusVendorID
Artifact Type,VirusInfo,_VirusInfo
Artifact Type,App Created By,AppAuthor
Artifact Type,App Modified By,AppEditor
Artifact Type,Total Size,SMTotalSize
Artifact Type,Last Modified Date,SMLastModifiedDate
Artifact Type,Total File Stream Size,SMTotalFileStreamSize
Artifact Type,Total File Count,SMTotalFileCount
Artifact Type,Compliance Asset Id,ComplianceAssetId
Artifact Type,Artifact Type,Artifact_x0020_Type
Artifact Type,Comment settings,_CommentFlags
Artifact Type,Comment count,_CommentCount
Artifact Type,Principal Count,PrincipalCount
Artifact Type,Name,FileLeafRef
Artifact Type,Name,LinkFilenameNoMenu
Artifact Type,Name,LinkFilename
Artifact Type,Name,LinkFilename2
Artifact Type,File Name,BaseName
Artifact Type,Item is a Record,_IsRecord
CascadeMasterList,ID,ID
CascadeMasterList,Content Type ID,ContentTypeId
CascadeMasterList,Content Type,ContentType
CascadeMasterList,Title,Title
CascadeMasterList,Modified,Modified
CascadeMasterList,Created,Created
CascadeMasterList,Created By,Author
CascadeMasterList,Modified By,Editor
CascadeMasterList,Has Copy Destinations,_HasCopyDestinations
CascadeMasterList,Copy Source,_CopySource
CascadeMasterList,owshiddenversion,owshiddenversion
CascadeMasterList,Workflow Version,WorkflowVersion
CascadeMasterList,UI Version,_UIVersion
CascadeMasterList,Version,_UIVersionString
CascadeMasterList,Attachments,Attachments
CascadeMasterList,Approval Status,_ModerationStatus
CascadeMasterList,Approver Comments,_ModerationComments
CascadeMasterList,Edit,Edit
CascadeMasterList,Title,LinkTitleNoMenu
CascadeMasterList,Title,LinkTitle
CascadeMasterList,Title,LinkTitle2
CascadeMasterList,Select,SelectTitle
CascadeMasterList,Instance ID,InstanceID
CascadeMasterList,Order,Order
CascadeMasterList,GUID,GUID
CascadeMasterList,Workflow Instance ID,WorkflowInstanceID
CascadeMasterList,URL Path,FileRef
CascadeMasterList,Path,FileDirRef
CascadeMasterList,Modified,Last_x0020_Modified
CascadeMasterList,Created,Created_x0020_Date
CascadeMasterList,Item Type,FSObjType
CascadeMasterList,Sort Type,SortBehavior
CascadeMasterList,Effective Permissions Mask,PermMask
CascadeMasterList,Unique Id,UniqueId
CascadeMasterList,Client Id,SyncClientId
CascadeMasterList,ProgId,ProgId
CascadeMasterList,ScopeId,ScopeId
CascadeMasterList,File Type,File_x0020_Type
CascadeMasterList,HTML File Type,HTML_x0020_File_x0020_Type
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart
CascadeMasterList,Edit Menu Table Start,_EditMenuTableStart2
CascadeMasterList,Edit Menu Table End,_EditMenuTableEnd
CascadeMasterList,Type,DocIcon
CascadeMasterList,Server Relative URL,ServerUrl
CascadeMasterList,Encoded Absolute URL,EncodedAbsUrl
CascadeMasterList,Property Bag,MetaInfo
CascadeMasterList,Level,_Level
CascadeMasterList,Is Current Version,_IsCurrentVersion
CascadeMasterList,Item Child Count,ItemChildCount
CascadeMasterList,Folder Child Count,FolderChildCount
CascadeMasterList,Restricted,Restricted
CascadeMasterList,Originator Id,OriginatorId
CascadeMasterList,NoExecute,NoExecute
CascadeMasterList,Content Version,ContentVersion
CascadeMasterList,Label setting,_ComplianceFlags
CascadeMasterList,Retention label,_ComplianceTag
CascadeMasterList,Retention label Applied,_ComplianceTagWrittenTime
CascadeMasterList,Label applied by,_ComplianceTagUserId
CascadeMasterList,Access Policy,AccessPolicy
CascadeMasterList,VirusStatus,_VirusStatus
CascadeMasterList,VirusVendorID,_VirusVendorID
CascadeMasterList,VirusInfo,_VirusInfo
CascadeMasterList,App Created By,AppAuthor
CascadeMasterList,App Modified By,AppEditor
CascadeMasterList,Total Size,SMTotalSize
CascadeMasterList,Last Modified Date,SMLastModifiedDate
CascadeMasterList,Total File Stream Size,SMTotalFileStreamSize
CascadeMasterList,Total File Count,SMTotalFileCount
CascadeMasterList,Compliance Asset Id,ComplianceAssetId
CascadeMasterList,Task,Task
CascadeMasterList,Sub-Task,Sub_x0020_Task
